subject,label,NumVert,SurfArea,GrayVol,ThickAvg,ThickStd,MeanCurv,GausCurv,FoldInd,CurvInd
subjects,lh_caudalmiddlefrontal,4126,2674,7254,2.334,0.768,0.126,0.041,43,7.1
subjects,lh_cuneus,2012,1355,4176,2.715,0.897,0.135,0.04,20,3.5
subjects,lh_entorhinal,597,363,2196,3.555,1.215,0.106,0.023,5,0.6
subjects,lh_fusiform,4901,3084,11891,3.161,0.98,0.135,0.063,101,12.7
subjects,lh_inferiorparietal,6843,4473,13663,2.611,0.944,0.123,0.041,72,11.6
subjects,lh_inferiortemporal,5542,3576,15172,3.25,1.105,0.129,0.042,62,9.6
subjects,lh_isthmuscingulate,1488,964,2922,2.67,1.023,0.121,0.039,16,2.2
subjects,lh_lateraloccipital,7523,4918,15030,2.825,0.766,0.139,0.044,85,14.1
subjects,lh_lateralorbitofrontal,3628,2309,8835,2.958,1.182,0.11,0.036,35,5.6
subjects,lh_lingual,4018,2552,8577,2.838,0.87,0.136,0.087,78,7.8
subjects,lh_medialorbitofrontal,2778,1892,6080,2.712,1.066,0.115,0.05,39,4.3
subjects,lh_middletemporal,4428,2882,12024,2.978,1.128,0.119,0.037,46,6.9
subjects,lh_parahippocampal,1173,741,1637,1.96,0.686,0.075,0.013,4,0.6
subjects,lh_paracentral,2214,1443,3860,2.281,0.844,0.11,0.031,15,2.8
subjects,lh_parsopercularis,2466,1594,5257,2.537,0.902,0.114,0.035,25,3.7
subjects,lh_parsorbitalis,812,479,2400,3.256,1.16,0.136,0.051,12,1.7
subjects,lh_parstriangularis,1828,1168,4237,2.57,1.096,0.134,0.05,24,3.7
subjects,lh_pericalcarine,1735,1190,2802,2.602,0.804,0.13,0.373,44,3
subjects,lh_postcentral,7063,4641,10803,1.991,0.836,0.12,0.038,84,11.9
subjects,lh_posteriorcingulate,1772,1168,2814,2.13,0.922,0.139,0.083,80,3.6
subjects,lh_precentral,8679,5581,14451,2.297,0.808,0.117,0.044,88,15.6
subjects,lh_precuneus,5650,3678,11261,2.501,1.062,0.127,0.052,87,12.3
subjects,lh_rostralanteriorcingulate,1142,724,1728,2.056,0.805,0.119,0.031,13,1.5
subjects,lh_rostralmiddlefrontal,7924,4945,16547,2.531,1.034,0.135,0.055,105,19
subjects,lh_superiorfrontal,10255,6729,24355,2.836,1.111,0.118,0.037,91,15.9
subjects,lh_superiorparietal,8594,5530,14192,2.258,0.86,0.127,0.066,200,20.8
subjects,lh_superiortemporal,5956,3836,12903,2.76,1.005,0.097,0.024,36,6.2
subjects,lh_supramarginal,5942,3896,11826,2.557,0.954,0.134,0.043,71,11.1
subjects,lh_frontalpole,252,146,793,3.383,0.899,0.151,0.101,7,0.8
subjects,lh_temporalpole,676,417,3035,3.959,0.821,0.111,0.033,7,1.1
subjects,lh_transversetemporal,668,424,1168,2.544,0.87,0.125,0.036,7,0.9
subjects,lh_insula,3163,2144,6883,2.814,1.304,0.081,0.018,14,2.2
subjects,rh_bankssts,1227,833,1717,1.915,0.733,0.093,0.018,6,0.8
subjects,rh_caudalanteriorcingulate,1060,656,1759,2.293,0.768,0.129,0.045,13,2.3
subjects,rh_caudalmiddlefrontal,3140,2077,6364,2.561,0.874,0.123,0.039,28,5.2
subjects,rh_cuneus,2187,1474,4830,2.933,0.907,0.139,0.044,26,4.3
subjects,rh_entorhinal,534,361,1752,3.258,1.098,0.115,0.027,4,0.6
subjects,rh_fusiform,4751,3117,10160,2.67,1.054,0.127,0.037,52,7.3
subjects,rh_inferiorparietal,8122,5325,16963,2.586,0.993,0.126,0.043,92,14.5
subjects,rh_inferiortemporal,4575,2996,11439,2.799,1.255,0.125,0.04,48,7.8
subjects,rh_isthmuscingulate,1416,915,2759,2.717,0.972,0.119,0.035,14,1.9
subjects,rh_lateraloccipital,7706,5105,15941,2.864,0.779,0.139,0.045,90,14.5
subjects,rh_lateralorbitofrontal,3198,2094,8441,3.026,1.153,0.118,0.031,30,4.1
subjects,rh_lingual,4305,2877,7988,2.615,0.763,0.146,0.087,99,20.4
subjects,rh_medialorbitofrontal,2359,1561,5356,2.498,1.043,0.12,0.041,34,4.1
subjects,rh_middletemporal,4956,3226,12655,2.895,1.16,0.127,0.043,60,8.9
subjects,rh_parahippocampal,1166,755,1675,1.869,0.929,0.092,0.019,6,0.9
subjects,rh_paracentral,2506,1735,4452,2.345,0.918,0.103,0.024,14,2.6
subjects,rh_parsopercularis,1939,1221,4123,2.632,0.931,0.115,0.034,18,2.8
